date,rate_under20,rate_20,rate_30,rate_40,rate_50,rate_over60
2016. 09,7.415590562,26.58495342,21.36474109,15.53149708,16.21132275,12.8918951
2016. 10,6.290180251,24.75712041,21.86476476,16.44824562,17.06049306,13.5791959
2016. 11,5.935886873,25.05456257,22.03041716,17.02125334,16.96038538,12.99749466
2016. 12,11.45196286,27.32305275,21.62557578,16.78168753,14.14610225,8.671618826
2017. 01,12.5240853,26.56868773,22.98236146,16.24939703,12.94999118,8.725477298
2017. 02,8.842182814,30.30577883,22.25219543,16.1519963,13.7129592,8.734887422
2017. 03,9.342194818,25.75619545,21.4211849,16.98715976,15.16339168,11.32987339
2017. 04,8.015454483,22.2688163,22.89904304,18.01702326,16.09627475,12.70338816
2017. 05,7.280926539,25.26558252,23.07199939,17.73443312,15.65579612,10.99126231
2017. 06,10.75670684,24.88468096,21.8214405,18.10503474,14.8082091,9.623927855
2017. 07,14.97538785,23.72842593,20.61897709,18.23640398,13.69596572,8.74483943
2017. 08,15.25738728,26.81323368,19.94774686,17.11852619,12.95793632,7.905169656
2017. 09,7.454675001,27.48289585,22.61000942,16.72454535,15.16800786,10.55986652
2017. 10,6.21507348,26.49519231,23.49218848,17.1913044,15.48326051,11.12298081
2017. 11,6.274715346,26.84756377,23.893261,18.04381583,15.35617478,9.584469278
2017. 12,12.01949905,28.1559135,22.6901477,17.21526931,12.77847401,7.140696427
2018. 01,8.46331236,27.55412728,25.04886881,17.3292857,13.46560942,8.138796431
2018. 02,10.67812125,28.62379393,22.77015076,17.18858104,13.04530257,7.69405045
2018. 03,10.27268791,27.38545871,22.65714153,16.7043961,13.64769371,9.332622041
2018. 04,7.029059204,24.77994619,24.11267204,16.83308449,14.91837793,12.32686015
2018. 05,6.767532717,25.96683069,23.56710289,16.85598942,14.94381076,11.89873352
2018. 06,10.6607728,26.23954158,22.54719806,16.82221927,13.75388812,9.976380179
2018. 07,15.94134495,24.4235332,21.09929499,17.40153544,12.6918449,8.442446531
2018. 08,16.94138685,26.30101452,20.06164354,16.53347631,12.09695415,8.065524629
2018. 09,7.926028396,29.131105,22.97895681,15.51462669,14.06893762,10.38034549
2018. 10,6.14255838,25.74576,23.29284985,16.36635239,15.40607391,13.04640547
2018. 11,6.6792154,26.27315179,23.39265176,17.35865391,15.19973227,11.09659487
2018. 12,12.52188687,27.332406,22.4455058,16.85070698,12.74825445,8.101239902
2019. 01,10.74718466,26.90525897,23.54216254,16.48083016,12.93158844,9.392975234
2019. 02,10.32609128,29.27129943,23.24010763,16.15691448,12.78950348,8.216083708
2019. 03,10.33185385,26.8429651,22.11744004,15.90217667,13.79035439,11.01520994
2019. 04,8.093264626,24.18347571,23.77353775,16.34968443,14.51475816,13.08527933
2019. 05,6.986927563,25.60021901,23.83254025,16.12841175,14.64170572,12.81019571
2019. 06,10.85531301,26.33646923,23.07505547,16.33881811,13.28557052,10.10877365
2019. 07,16.37190759,24.74484479,21.54718717,16.80408278,12.0523495,8.479628168
2019. 08,17.247587,26.31388594,20.7400173,16.06829491,11.53406178,8.096153078
2019. 09,7.365166939,28.77560186,24.27845345,15.11374405,13.63932992,10.82770378
2019. 10,6.835131839,26.86675907,23.750004,15.55451696,14.57138376,12.42220437
2019. 11,6.691498679,26.7977307,24.43946416,16.41694251,14.46064085,11.1937231
2019. 12,10.49416999,26.6849179,24.40496544,16.35525587,12.73854924,9.322141565
2020. 01,10.84391665,25.71929666,25.27987545,16.26084727,12.65849833,9.237565653
2020. 02,6.996421979,33.183775,22.27729031,16.06838066,13.34804157,8.126090475
2020. 03,5.850521645,40.36605109,24.37642403,12.97217892,10.09863293,6.33619139
2020. 04,8.980137699,44.51929268,19.87716083,11.18430829,9.02471643,6.414384071
